,"Найменування об’єкта (заходу), його місцезнаходження",Обсяг субвенції тис. Гривень
Вінницька область,Вінницька область,"134,496,751"
Вінницька область,"Проведення робіт з реконструкції систем енергозбереження будівлі дошкільного навчального закладу № 77 по вул. Короленка, 19, м. Вінниця",6940
Вінницька область,"Реконструкція котельні з встановленням твердопаливного котла у загальноосвітній школі I-II ступеня по вул. Шкільна (вул. О. Матросова), 23, с. Стадниця Вінницького району Вінницької області",546
Вінницька область,"Реконструкція системи опалення з встановленням твердопаливних котлів в Степанівському НВК: ЗОШ I-III ст. - ДНЗ, с. Степанівка, по вул. Соборна (вул. Леніна), 23, Вінницького району Вінницької області",1140
Вінницька область,"Капітальний ремонт будівлі сільського клубу по вул. Центральній, буд. 6Б, в с. Красне Вінницького району Вінницької області",992
Вінницька область,Придбання обладнання для Вінницько-Хутірського НВК: Вінницько-Хутірська ЗОШ I-III ступенів - дошкільний навчальний заклад,695
Вінницька область,"Проведення реконструкції приміщення дошкільного навчального закладу, с. Гавришівка Вінницького району",215
Вінницька область,"Проведення капітального ремонту амбулаторії, с. Вінницькі-Хутори Вінницького району",980
Вінницька область,"Реконструкція системи теплопостачання середньої загальноосвітньої школи I-III ступеня № 1 з встановленням блочно-модульної котельні потужністю 800 кВт, смт Крижопіль Крижопільського району",818
Вінницька область,"Реконструкція частини загальноосвітньої середньої школи I-III ступеня по вул. Свердлова під приміщення дитячого садка “Ромашка”, с. Гарячківка Крижопільського району",126
Вінницька область,"Технічне переоснащення системи опалення ДНЗ № 2 по вул. Садовій, 1, в с. Городківка Крижопільського району Вінницької області",126
Вінницька область,"Вибірковий капітальний ремонт вікон у приміщенні середньої загальноосвітньої школи I-III ступеня по вул. Садовій, 44, с. Вербка Крижопільського району",189
Вінницька область,"Капітальний ремонт дорожнього покриття по вул. Франка, смт Піщанка",898
Вінницька область,Капітальний ремонт будівлі Піщанської ЛПЛ із заміною дерев’яних віконних та дверних блоків на металопластикові,220
Вінницька область,"Ремонт тротуару по вул. Центральній, смт Піщанка",283
Вінницька область,"Капітальний ремонт покрівлі будинку культури, с. Яворівка Піщанського району",251
Вінницька область,"Ремонт тротуарних доріжок по вулицях Шевченка та Шкільній, смт Піщанка",251
Вінницька область,"Реконструкція котельні Чечельницької середньої загальноосвітньої школи I-III cтупеня № 1 з встановленням двох котлів на альтернативному (твердому) паливі по вул. Свердлова, 1, смт Чечельник Чечельницького району",465
Вінницька область,"Реконструкція котельні в Ольгопільській середній загальноосвітній школі I-III cтупеня з встановленням двох котлів на альтернативному (твердому) паливі, с. Ольгопіль Чечельницького району",511
Вінницька область,"Реконструкція дороги по вул. Свято-Михайлівській на відрізку 200 метрів та по вул. Парковій на відрізку 500 метрів з облаштуванням тротуарів, смт Чечельник",314
Вінницька область,"Реконструкція дороги по вул. Антонишина на відрізку 350 метрів з облаштуванням тротуарів, смт Чечельник",314
Вінницька область,"Реконструкція будівлі загальноосвітньої школи I-III ступеня (модульна котельня), с. Клембівка Ямпільського району",525
Вінницька область,"Реконструкція зовнішньої системи опалення із заміною котлів в дошкільних навчальних закладах № 1 і 4 по вул. Піонерській, м. Ямпіль",563
Вінницька область,"Реконструкція котельні в загальноосвітній школі I-III ступеня по вул. Шевченка, с. Велика Кісниця Ямпільського району",170
Вінницька область,"Будівництво дитячого садка, с. Дорошівка Ямпільського району",943
Вінницька область,"Реконструкція площі, м. Ямпіль",336
Вінницька область,"Реконструкція площі, с. Дзигівка Ямпільського району",204
Вінницька область,"Реконструкція пішохідної частини, с. Буша Ямпільського району",302
Вінницька область,"Реконструкція та ремонт тротуарних, велосипедних доріжок в межах вул. Леніна, смт Вендичани Могилів-Подільського району",1257
Вінницька область,"Яришівська амбулаторія сімейної медицини, с. Яришів Могилів-Подільського району",63
Вінницька область,"Підвищення енергоефективності Вендичанської середньої загальноосвітньої школи I-III ступеня, гімназії, Могилів-Подільський район",428
Вінницька область,"Капітальний ремонт дорожнього покриття по вул. Чабана, с. Серебрія Могилів-Подільського району",149
Вінницька область,"Капітальний ремонт дорожнього покриття по вул. Нижня Зарічна від буд. 1 до буд. 22 та від буд. 53 до буд. 57, с. Карпівка Могилів-Подільського району",263
Вінницька область,"Капітальний ремонт дорожнього покриття по вул. Щорса, с. Сугаки Могилів-Подільського району",123
Вінницька область,"Капітальний ремонт дорожнього покриття по вул. Нахімова, с. Тропова Могилів-Подільського району",440
Вінницька область,"Вибірковий капітальний ремонт дорожнього покриття по вул. Білинського, с. Яришів Могилів-Подільського району",306
Вінницька область,"Капітальний ремонт терапевтичного корпусу комунальної установи “Барська центральна районна лікарня” із заміною вікон по вул. Каштановій, 34, м. Бар","729,8"
Вінницька область,"Реконструкція спортивного майданчика з улаштуванням синтетичного покриття “штучна трава” загальноосвітньої школи I-III ступеня № 3 по вул. Соборній, 20, м. Бар","599,8"
Вінницька область,"Реконструкція комунального закладу “Барська районна дитячо-юнацька спортивна школа “Колос” по вул. Соборній, 8, м. Бар","1669,5"
Вінницька область,"Реконструкція спортивно-оздоровчого закладу “Юність” управління житлово-комунального господарства Жмеринської міської ради по вул. Київській, 15, м. Жмеринка","3498,9"
Вінницька область,"Реконструкція мосту через р. Південний Буг, смт Сутиски Тиврівського району","2059,4"
Вінницька область,"Капітальний ремонт із заміною вікон в Гніванській амбулаторії загальної практики сімейної медицини по вул. Леніна, 89, м. Гнівань Тиврівського району","292,929"
Вінницька область,Придбання автомобіля швидкої медичної допомоги для Літинської центральної районної лікарні УАЗ 3962 AC U-396295-ШД+УН 2016 рік,"368,9"
Вінницька область,"Реконструкція частини господарської будівлі під опалювальний пункт на альтернативних видах палива, теплотраси та влаштування системи опалення загальноосвітньої школи I-III ступеня по вул. Леніна, 26, с. Бруслинів Літинського району","1,462,745"
Вінницька область,"Будівництво артсвердловини та водонапірної башти до житлових масивів “Фоса” і “Дубовий гай”, смт Літин","709,5"
Вінницька область,Вибірковий капітальний ремонт дорожнього покриття по вул. Коцюбинського (від ПК9+55 до ПК13+18) та по вул. Щербакова (від ПК0 до ПК2+26) в м. Погребище Вінницької області,900
Вінницька область,"Капітальний ремонт із заміни віконних та дверних блоків як метод енергозбереження у Вахнівській загальноосвітній школі I-III ступеня, Липовецький район","256,2"
Вінницька область,"Капітальний ремонт фасадів (енергозбереження: утеплення стін, даху, заміна віконних конструкцій) будівлі ДНЗ № 1 “Сонечко” по вул. Леніна, 35, в м. Липовець Вінницької області",1500
Вінницька область,"Капітальний ремонт дорожнього покриття по вул. Корольова, смт Турбів Липовецького району","460,7"
Вінницька область,Капітальний ремонт з енергозбереження стосовно утеплення даху Іллінецької загальноосвітньої школи I-III ступеня № 1 Іллінецького району Вінницької області,"562,5"
Вінницька область,Реконструкція старого терапевтичного відділення Іллінецької центральної районної лікарні у м. Іллінці Іллінецького району,225
Вінницька область,"Впровадження енергозберігаючих технологій в дошкільному навчальному закладі № 1 “Журавлик” (проведення утеплення фасаду будівлі) по вул. І. Франка, 23, смт Дашів Іллінецького району","742,5"
Вінницька область,"Капітальний ремонт покрівлі з азбестоцементних листів із заміною на металочерепицю, евакуаційних виходів, утеплення зовнішніх стін фасаду приміщення дошкільного навчального закладу “Сонечко” по вул. Парковій, 10, смт Оратів Оратівського району",1811
Вінницька область,"Впровадження енергозберігаючих технологій в загальноосвітній школі I-III ступеня, с. Скоморошки Оратівського району",270
Вінницька область,Капітальний ремонт дороги державного значення Р-17 “Біла Церква - Тетіїв - Липовець - Гуменне” на ділянці км 91+000 - 94+000 по смт Оратів Оратівського району,"3644,6"
Вінницька область,"Реконструкція з метою енергозбереження тепломережі Немирівської ЦРЛ по вул. Євдокименко, 21, у м. Немирів Вінницької області","1012,5"
Вінницька область,"Реконструкція опалювального пункту із встановленням твердопаливних котлів Немирівського навчально-виховного комплексу “Загальноосвітня школа I-III ступенів № 1 імені М.Д. Леонтовича - гімназія” Немирівської районної ради по пров. Некрасова, 2, у м. Немирі",615
Вінницька область,"Реконструкція дитячого садка “Сонечко”, с. Агрономічне Вінницького району",2500
Вінницька область,"Капітальний ремонт дорожнього покриття по вул. Зарічній, с. Ільківка Вінницького району",900
Вінницька область,"Капітальний ремонт дорожнього покриття по вул. Набережній, смт Стрижавка Вінницького району",699
Вінницька область,"Утеплення будівлі дошкільного навчального закладу “Казка”, смт Стрижавка Вінницького району - капітальний ремонт",1790
Вінницька область,Капітальний ремонт дорожнього покриття по вул. Центральна с. Медвідка Вінницького району,250
Вінницька область,"Капітальний ремонт приміщення дитячого садка, с. Майдан Вінницького району",200
Вінницька область,Капітальний ремонт дорожнього покриття по вул. Івана Франка (від перехрестя з вул. Шевченка до в’їзду на кладовище) в с. Переорки Вінницького району Вінницької області,"845,8"
Вінницька область,"Капітальний ремонт приміщення сільського будинку культури, с. Некрасове Вінницького району",650
Вінницька область,Капітальне будівництво пожежної водойми с. Дорожне Вінницького району Вінницької області,200
Вінницька область,"Клуб, с. Медвідка Вінницького району - капітальний ремонт",150
Вінницька область,"Капітальний ремонт покриття приміщення Переорської СЗШ I-II ступеня, с. Переорки Вінницького району Вінницької області",300
Вінницька область,Капітальний ремонт дорожнього покриття по вул. Руданського (від перехрестя з вул. Грушевського до перехрестя з вул. Д. Нечая) в с. Зарванці Вінницького району Вінницької області,500
Вінницька область,Капітальний ремонт дорожнього покриття по вул. Садова с. Бохоники Вінницького району Вінницької області,"1 354,2"
Вінницька область,Будівництво гаражу школи на 1296 учнів в смт Томашпіль Вінницької області (завершення будівництва гаражу),2000
Вінницька область,"Реконструкція будівель поліклініки під дитячий садок по вул. Леніна, смт Шпиків Тульчинського району",2500
Вінницька область,"Реконструкція будівлі Бабчинецької СЗШ I-III ст. в с. Бабчинці по вулиці Леніна, 36, Чернівецького району Вінницької області",2000
Вінницька область,"Школа, с. Зведенівка Шаргородського району (будівництво)",3000
Вінницька область,"Реконструкція комплексу будівель та споруд навчально-виховного комплексу “Немирівська загальноосвітня школа I-III ступеня № 2 - ліцей” із застосуванням заходів теплореновації (заміна вікон та дверей) по вул. Луначарського, 27 і 30, м. Немирів",762
Вінницька область,"Ремонт пішохідних доріжок з укладенням тротуарної плитки в міському парку по вул. Юрія Коваленка, м. Бершадь","1490,4"
Вінницька область,"Заміна вікон та дверей у дошкільному навчальному закладі “Ромашка” по вул. Лесі Українки, 29а, с. Кошаринці Бершадського району","107,1"
Вінницька область,"Встановлення вікон у Серединській загальноосвітній школі I-III ступеня імені В.М. Думанського по вул. Маковійчука, 1, с. Серединка Бершадського району","99,7"
Вінницька область,"Ремонт дошкільного навчального закладу “Сонечко” по вул. Гагаріна, 36, с. Серединка Бершадського району","99,7"
Вінницька область,"Закупівля обладнання для Джулинського молочного кооперативу по вул. Спортивній, 22, с. Джулинка Бершадського району","99,7"
Вінницька область,"Встановлення вікон у Красносільській загальноосвітній школі I-III ступеня по вул. Незалежності, 14, с. Красносілка Бершадського району","99,7"
Вінницька область,"Встановлення вікон у Поташнянській загальноосвітній школі I-II ступеня по вул. Головній, 66, с. Поташня Бершадського району","99,7"
