oblast,title,amount raw,amount clean,smd,smd_manual,smd_all
Київська область,"Відділення гемодіалізу Фастівської центральної районної лікарні, м. Фастів Фастівського району"," $3,492.00 "," $3,492,000.00 ",91,,91
Київська область,"Капітальний ремонт дитячого садка, с. Дмитрівка Фастівського району"," $2,299.00 "," $2,299,000.00 ",91,,91
Київська область,"Будівництво середньої загальноосвітньої школи I-III ступеня на 24 класи (720 учнів) по вул. Юності, 5, смт Чабани Києво-Святошинського району"," $10,510.00 "," $10,510,000.00 ",,91,91
Київська область,"Капітальний ремонт приміщення Самгородської загальноосвітньої школи I-III ступеня, с. Самгородок Сквирського району"," $1,451.00 "," $1,451,000.00 ",,91,91
Київська область,"Капітальний ремонт будинку культури по вул. Леніна, 235а, с. Дулицьке Сквирського району", $819.00 ," $819,000.00 ",,91,91
Київська область,"Капітальний ремонт території загального користування по вул. Дуні Безсмертної, смт Велика Димерка Броварського району"," $1,387.80 "," $1,387,800.00 ",97,,97
Київська область,"Капітальний ремонт пров. Озерного, с. Зазим’я Броварського району", $785.10 ," $785,100.00 ",97,,97
Київська область,"Капітальний ремонт дороги по вул. Старошулявській (колишня Піонерська), с. Красилівка Броварського району", $880.40 ," $880,400.00 ",97,,97
Київська область,"Будівництво мереж вуличного освітлення по вулицях Ватутіна, Лебідській (колишня Кірова), Івана Франка (колишня Леніна), с. Рудня Броварського району", $735.80 ," $735,800.00 ",97,,97
Київська область,"Капітальний ремонт дороги по вул. Левадній (колишня Чкалова), с. Масківці Баришівського району", $627.50 ," $627,500.00 ",97,,97
Київська область,"Капітальний ремонт дороги по вул. Молодіжній, с. Веселинівка Баришівського району", $590.50 ," $590,500.00 ",97,,97
Київська область,"Капітальний ремонт дороги по вул. Червоній від вул. Богдана Хмельницького (колишня Комсомольська) до вул. Шевченка, смт Баришівка", $367.60 ," $367,600.00 ",97,,97
Київська область,"Капітальний ремонт дорожнього покриття по вул. Б. Хмельницького, Кагарлицького району"," $1,120.75 "," $1,120,750.00 ",93,,93
Київська область,Капітальний ремонт до входу парку-пам’ятки “Кагарлицький” Кагарлицького району, $742.10 ," $742,100.00 ",93,,93
Київська область,"Фельдшерсько-акушерський пункт по вул. Центральній, 46, с. Юхни Миронівського району", $600.00 ," $600,000.00 ",93,,93
Київська область,"Культурно-просвітницький центр по вул. Соборності, 62, м. Миронівка Миронівського району"," $2,700.00 "," $2,700,000.00 ",93,,93
Київська область,"Амбулаторія по вул. Набережній, 4, с. Владиславка, Миронівського району", $400.00 ," $400,000.00 ",93,,93
Київська область,"Реконструкція (утеплення вентильованого фасаду) дошкільного навчального закладу № 5 по вул. Миколаївській, 94, м. Богуслав"," $1,348,769.00 "," $1,348,769.00 ",,93,93
Київська область,"Реконструкція (утеплення вентильованого фасаду) дошкільного навчального закладу № 4 по вул. Б. Хмельницького, 7а, м. Богуслав в осях Б-Г:10-2"," $1,323,347.00 "," $1,323,347.00 ",,93,93
Київська область,"Будівництво котельні Житньогірської загальноосвітньої школи I-III ступеня по вул. Леніна, 16, с. Житні Гори Рокитнянського району"," $1,256.17 "," $1,256,170.00 ",93,,93
