oblast,title,amount raw,amount clean,smd,smd_manual,smd_all
Львівська область,Львівська область,111950846,,,,
Львівська область,"Будівництво спортивного залу в середній загальноосвітній школі № 7 по вул. Б. Хмельницького, 123, м. Львів",500,500000,,116,116
Львівська область,"Комунальний заклад Львівської обласної ради “Львівський геріатричний пансіонат” - капітальний ремонт внутрішньобудинкових хідників та доріг, м. Львів",500,500000,,118,118
Львівська область,"Благоустрій прилеглої території середньої загальноосвітньої школи I-III ступеня № 78, м. Львів",500,500000,,118,118
Львівська область,"Будівництво загальноосвітньої школи I-II ступеня, с. Братковичі Городоцького району, в тому числі виготовлення проектно-кошторисної документації",250,250000,120,,120
Львівська область,"Будівництво загальноосвітньої школи I-III ступеня, с. Суховоля Городоцького району, в тому числі виготовлення проектно-кошторисної документації",500,500000,120,,120
Львівська область,"Реконструкція з добудовою Бартатівського навчально-виховного комплексу, с. Бартатів Городоцького району",700,700000,120,,120
Львівська область,"Будівництво загальноосвітньої школи I-II ступеня, с. Дубаневичі Городоцького району, в тому числі виготовлення проектно-кошторисної документації",200,200000,120,,120
Львівська область,"Капітальний ремонт Вишнянської загальноосвітньої школи I-II ступеня, с. Вишня Городоцького району",495,495000,120,,120
Львівська область,"Капітальний ремонт Заверещицького навчально-виховного комплексу, с. Заверещиця Городоцького району",205,205000,120,,120
Львівська область,"Реконструкція фельдшерсько-акушерського пункту, с. Годвишня Городоцького району",150,150000,120,,120
Львівська область,"Капітальний ремонт Керницького навчально-виховного комплексу, с. Керниця Городоцького району",200,200000,120,,120
Львівська область,"Капітальний ремонт Народного дому, с. Вишня Городоцького району",310,310000,120,,120
Львівська область,"Реконструкція вуличного освітлення по вулицях І. Сірка, Горішній, Св. Миколая, І. Виговського, м. Городок",100,100000,120,,120
Львівська область,"Реконструкція вуличного освітлення по вулицях Підгір’я, Сагайдачного, м. Городок",100,100000,120,,120
Львівська область,"Дошкільний навчальний заклад (ясла-садок) на 150 місць, смт Великий Любінь Городоцького району, будівництво",790,790000,120,,120
Львівська область,"Реконструкція приміщення загальноосвітньої школи I-III ступеня, с. Крукеничі Мостиського району",1311497,1311497,120,,120
Львівська область,"Капітальний ремонт Довгомостиського навчально-виховного комплексу, с. Довгомостиська Мостиського району",276393,276393,120,,120
Львівська область,"Реконструкція Народного дому, с. Нагірне Мостиського району",500,500000,120,,120
Львівська область,"Реконструкція фельдшерсько-акушерського пункту, с. Годині Мостиського району",572610,572610,120,,120
Львівська область,"Капітальний ремонт Народного дому, с. Раденичі Мостиського району",145.5,145500,120,,120
Львівська область,"Капітальний ремонт Народного дому, с. Конюшки Мостиського району",97,97000,120,,120
Львівська область,"Капітальний ремонт Народного дому, с. Ганьковичі Мостиського району",97,97000,120,,120
Львівська область,Реконструкція Рудківської районної лікарні Самбірського району,617,617000,120,,120
Львівська область,"Реконструкція приміщення комунального закладу “Самбірська центральна районна лікарня” по вул. Січових Стрільців, 11, смт Дубляни Самбірського району",550,550000,120,,120
Львівська область,"Капітальний ремонт дитячого садка по вул. Поливки, 198, с. Кульчиці Самбірського району. Коригування",550,550000,120,,120
Львівська область,"Аварійно-відновлювальні роботи на мосту по вул. Героїв УПА, зруйнованого внаслідок стихійного лиха 15-18 травня 2014 р. (реконструкція), с. Сусолів Самбірського району",733,733000,120,,120
Львівська область,Реконструкція будівлі Баранівецького навчально-виховного комплексу “СЗШ I-III ступеня - ДНЗ” Самбірського району,550,550000,120,,120
Львівська область,"Реконструкція водопостачання району “Зарудка”, м. Ходорів Жидачівського району",2400,2400000,126,,126
Львівська область,"Будівництво розподільного газопроводу середнього тиску з вводами до меж земельних ділянок, с. Пятничани Жидачівського району",2250,2250000,126,,126
Львівська область,"Проведення невідкладних аварійно-відновлюваних робіт з відновленням пошкодженого пожежею корпусу обласного дитячого протитуберкульозного санаторію, смт Журавно Жидачівського району",2800,2800000,126,,126
Львівська область,"Капітальний ремонт Тейсарівського дошкільного навчального закладу (дитячий садок) по вул. Франка, 10а, с. Тейсарів Жидачівського району",450,450000,126,,126
