oblast,title,amount raw,amount clean,smd,smd_manual,smd_all
Закарпатська область,"Капітальний ремонт вул. Закарпатської, м. Ужгород",2700,2700000,68,,68
Закарпатська область,"Капітальний ремонт вул. Собранецької (від вул. Підгірної до вул. Митної), м. Ужгород",3000,3000000,68,,68
Закарпатська область,"Капітальний ремонт вул. Миру, с. Худльово Ужгородського району","1,329,031","1,329,031",68,,68
Закарпатська область,"Капітальний ремонт вул. № 1, с. Ярок Ужгородського району",310.2,310200,68,,68
Закарпатська область,"Капітальний ремонт вул. № 11, с. Ярок Ужгородського району",440.4,440400,68,,68
Закарпатська область,"Капітальний ремонт вул. Перемоги, с. Р. Комарівці Ужгородського району","388,823","388,823",68,,68
Закарпатська область,"Капітальний ремонт вул. Жовтневої, с. Р. Комарівці Ужгородського району","246,604","246,604",68,,68
Закарпатська область,"Капітальний ремонт вул. Петефі, с. Холмець Ужгородського району","408,949","408,949",68,,68
Закарпатська область,"Капітальний ремонт вул. Запотоцької, с. Пацканьово Ужгородського району","309,602","309,602",68,,68
Закарпатська область,"Капітальний ремонт вул. Побічної від буд. 1 до буд. 82, с. Лінці Ужгородського району",750,750000,68,,68
Закарпатська область,"Капітальний ремонт дороги по вул. Вербовій, с. Червоне Ужгородського району","535,901","535,901",68,,68
Закарпатська область,"Будівництво продовження вул. Кошута, с. Сюрте Ужгородського району",620,620000,68,,68
Закарпатська область,"Капітальний ремонт вул. № 1, с. Стрипа Ужгородського району",200.7,200700,68,,68
Закарпатська область,"Капітальний ремонт вул. Шкільної, с. Анталовці Ужгородського району","249,238","249,238",68,,68
Закарпатська область,"Капітальний ремонт фасадів (заміна вікон) класичної гімназії по вул. 8-го Березня, 44, м. Ужгород",3814.9,3814900,68,,68
Закарпатська область,"Капітальний ремонт терапевтичного відділення Ужгородської центральної міської клінічної лікарні по вул. Грибоєдова, м. Ужгород",1983.2,1983200,68,,68
Закарпатська область,"Реконструкція водогону Д-325 по вул. Можайського від вул. Минайської до вул. 8-го Березня, м. Ужгород",1381.5,1381500,68,,68
Закарпатська область,"Реконструкція пожежної насосної станції з РЧВ2 х 1000 куб. метрів в мікрорайоні “Сторожниця”, м. Ужгород",2328.8,2328800,68,,68
Закарпатська область,"Реконструкція каналізаційного колектора по вул. Тельмана, м. Ужгород","443,772","443,772",68,,68
Закарпатська область,Капітальний ремонт дороги від дорожнього знака с. Лази до будинку суботників довжиною 8 кілометрів Лазівської сільської ради Тячівського району,3346.5,3346500,,71,71
Закарпатська область,"Капітальний ремонт дороги по вул. Борканюка (від бази відпочинку “Валило” до кінця населеного пункту), с. Новоселиця Тячівського району",780,780000,,72,72
Закарпатська область,"Капітальний ремонт дороги по вул. Шевченка (від межі населеного пункту до будинку № 55), в с. Тисолово Тячівського району",870,870000,,72,72
Закарпатська область,Капітальний ремонт ділянки дороги по вул. Миру (км 3 + 060 - км 3 + 608) у с. Руська Мокра Тячівського району,600,600000,,72,72
Закарпатська область,"Реконструкція існуючих будівель під дошкільний заклад в м. Рахів по вул. Б. Хмельницького, 105. Коригування",2920,2920000,72,,72
Закарпатська область,"Капітальний ремонт дорожнього покриття по вул. Борканюка, м. Рахів",1042,1042000,72,,72
Закарпатська область,Капітальний ремонт ділянки вул. Б. Хмельницького (від буд. № 96 до моста) у м. Рахів,481,481000,72,,72
Закарпатська область,"Капітальний ремонт дорожнього покриття по вулицях Борканюка, Миру, І. Франка, смт Ясіня Рахівського району","299,978","299,978",72,,72
Закарпатська область,Капітальний ремонт вулиці Б. Хмельницького (ділянка № 2 від будинку № 13 до вул. Борканюка) в смт Великий Бичків,166.82,166820,,72,72
Закарпатська область,Капітальний ремонт вул. Шевченка (ділянка № 1 від вул. Інтернаціональна до містка через потік “Млинівка”) в смт Великий Бичків,653.8,653800,,72,72
Закарпатська область,Капітальний ремонт вул. Шевченка (ділянка № 2 від містка через потік “Млинівка” до будівлі № 35а) в смт Великий Бичків,321.24,321240,,72,72
